Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Exclusivity.perceptual,Exclusivity.action,Exclusivity.sensorimotor,Modality
oppressively,1.895,0,0.684,1.263,0,2.474,0.947,1.526,2.421,1.421,1.211,0.392,0.196,0.179,Visual
oppressiveness,2.778,0.167,0.778,2.556,0.222,3.167,0.833,1.667,2.611,2.111,0.889,0.31,0.219,0.169,Visual
oppressor,2.706,0,0.471,1,0.059,2.765,0.947,1.421,2.632,1.737,1.053,0.395,0.216,0.187,Visual
opt,2.091,0.455,0.545,0.818,0.455,1.909,0.421,1.053,2.105,1.474,0.368,0.261,0.32,0.149,Auditory
opt for,1.733,0.467,0.667,1.467,0.4,2.533,0.118,0.353,1.765,1.176,0.118,0.294,0.467,0.224,Visual
opt out,0.895,0,0.053,0.526,0,1.842,0.5,0.75,2.05,2.05,0.2,0.556,0.333,0.231,Visual
optic,0.294,0,0.353,0.118,0,4.471,0,0.278,3.611,0,0,0.854,0.929,0.49,Visual
optical,0.15,0,0.25,0.25,0.1,3.95,0,0.158,4,0.316,0,0.84,0.894,0.436,Visual
optically,0.278,0.056,0.167,0.611,0.056,4.333,0,0.059,3.941,0,0,0.778,0.985,0.456,Visual
optician,2.75,0,1.281,0.219,0.188,3.969,0.278,0.611,3.556,0.833,0.278,0.472,0.59,0.284,Visual
optics,0.444,0.167,0.667,0.444,0.167,4.056,0.105,0.474,3.895,0.263,0.105,0.654,0.783,0.366,Visual
optimal,1.263,1,0.895,1.421,0.947,2.632,1,1.2,2.9,1.05,0.85,0.213,0.293,0.135,Visual
optimism,2.647,0.294,0.353,2.412,0.353,2.353,0.222,0.278,3.722,1.056,0.333,0.28,0.624,0.25,Auditory
optimist,2.6,0.05,0.05,2.5,0.05,1.6,0.5,0.5,3.3,1.2,0.55,0.372,0.463,0.252,Auditory
optimistic,2.5,0.25,0.35,3,0.25,2,0.667,0.667,2.778,1.5,0.944,0.329,0.322,0.184,Interoceptive
optimistically,2.412,0.235,0.294,2.471,0.059,2.353,0.222,1,3.667,2.444,0.389,0.308,0.446,0.232,Interoceptive
optimization,1.6,0.05,0.3,0.6,0.1,2.85,1.2,2.25,3.3,1.65,1.2,0.509,0.219,0.215,Visual
optimize,1.2,0.15,0.8,1.2,0.1,2.4,0.789,2.474,3.263,1.158,0.789,0.393,0.292,0.221,Visual
optimum,1.235,0.853,1,1.559,0.588,2.441,0.892,1.027,2.135,1.27,0.757,0.241,0.227,0.135,Visual
option,2,0.278,0.611,0.556,0.389,2.778,0.25,0.5,2.7,0.75,0.05,0.378,0.624,0.251,Visual
optional,2.125,0.625,0.625,0.938,0.5,2.125,0.684,0.789,2.632,1.211,0.526,0.234,0.36,0.167,Auditory
optionally,1.25,0.05,0.4,1.3,0.05,1.55,0.105,0.368,1,0.684,0.053,0.326,0.429,0.22,Visual
optometrist,1.438,0,0.188,0.062,0,3.375,0.4,1.25,3.45,1.3,0.35,0.667,0.459,0.292,Visual
optometry,0.429,0.143,0.929,0.571,0.071,3.357,0,0.611,3.778,0.056,0,0.597,0.85,0.38,Visual
opulent,1.2,0.867,1.067,1,0.667,2.867,0.6,0.867,2,0.733,0.6,0.287,0.292,0.182,Visual
opulently,0.905,0.619,1,0.952,0.81,2.286,0.45,0.75,2.45,1,0.55,0.254,0.385,0.17,Visual
or,0.562,0.062,0.062,0.062,0.062,0.625,0.059,0.353,2.059,1,0.176,0.391,0.548,0.393,Visual
oracle,2.211,0,0.053,0.842,0,2.474,0.409,0.773,2.682,1.045,0.5,0.443,0.42,0.244,Visual
oral,2.111,2.167,2.111,1.667,0.278,2.389,0.059,0.176,1.235,4.765,0.176,0.197,0.734,0.275,Visual
orally,2.5,2.438,1.312,1.062,0.438,2.125,0.263,0.421,1.632,4.789,0.579,0.209,0.589,0.258,Auditory
orange,0.176,4.059,2.412,0.471,3.176,3.647,0.227,1.909,2.045,2.136,0.409,0.278,0.284,0.188,Gustatory
orange juice,0.722,4.361,1.556,1.306,2.778,3.417,0.219,1.469,1.75,4.188,0.719,0.257,0.476,0.184,Gustatory
orange rind,0.118,2.706,2.118,0.412,2.882,3.529,0.059,2.529,2.647,2.412,0,0.29,0.346,0.182,Visual
orangey,0.062,3.25,0.375,0.062,2.938,3.188,0.125,0.438,2.75,1.625,0.312,0.323,0.5,0.211,Gustatory
orangutan,2.235,0.118,1.471,0.235,1,3.824,0.632,0.842,2.474,0.158,0.263,0.417,0.53,0.28,Visual
orate,4.154,0,0.077,0.385,0,1.923,0.308,0.385,1.154,3.308,0.385,0.635,0.542,0.344,Auditory
orator,3.933,0.333,0.667,0.867,0.333,3.133,0.778,0.778,2.778,2.944,0.667,0.388,0.287,0.209,Auditory
oratory,3.625,0.312,0,0.688,0,0.812,0.2,0.267,2.933,3.8,0.2,0.667,0.486,0.296,Auditory
orb,0.053,0,1.737,0,0,3.842,0.095,1.333,1.952,0.238,0.048,0.682,0.519,0.413,Visual
orbit,0.65,0.35,0.15,0.65,0.3,3.95,0.905,0.762,1.905,0.333,0.667,0.628,0.344,0.358,Visual
orbital,0.143,0,0.5,0.571,0,3.143,1,1.278,2.444,0.833,1.222,0.721,0.238,0.282,Visual
orbiter,0.455,0,0,0,0,3.364,0.438,0.5,2.438,0.125,0.375,0.881,0.597,0.437,Visual
orchard,0.5,1,2.278,0.5,2.722,4.056,1.286,1.476,1.524,1.429,0.81,0.322,0.109,0.202,Visual
orchestra,4.75,0,0.55,0.5,0,3.7,0.333,0.857,3.429,0.238,0.571,0.5,0.588,0.318,Auditory
orchestra pit,3.267,0,0.333,0.333,0,3.6,1.222,1.222,2.889,0.389,0.444,0.478,0.405,0.263,Visual
orchestral,4.211,0.053,0.316,0.421,0.053,2.316,0.864,1.5,2.455,1.136,0.864,0.564,0.233,0.293,Auditory
orchestrate,3.421,0.211,0.684,0.737,0.211,3.053,0.7,1.85,2.7,1.15,0.65,0.386,0.291,0.209,Auditory
orchestration,3.889,0,0.278,0.611,0,3,0.947,2.158,2.895,1.789,0.895,0.5,0.23,0.236,Auditory
orchestrator,3.235,0.059,0.235,0.706,0.118,3.588,0.8,2.3,2.7,1.35,0.85,0.444,0.238,0.221,Visual
orchid,0.55,0.55,2.55,0.5,3.3,4.25,0.4,2.45,2.5,0.5,0.4,0.321,0.336,0.214,Visual
ordain,2.688,0.062,0.438,0.562,0.062,2.688,0.5,1.25,2.125,2.688,0.562,0.404,0.307,0.193,Auditory
ordainment,1.643,0,0.143,0.5,0,1.857,0.2,0.4,1.8,1.133,0.2,0.448,0.429,0.236,Visual
ordeal,2.267,0,0.333,1.667,0.067,3.067,1.053,1.211,2.895,2.053,0.947,0.414,0.239,0.197,Visual
order,2.444,0.056,0.5,0.722,0.111,2.833,0.15,1.2,2.1,3.05,0.15,0.417,0.436,0.225,Visual
ordered,1.875,0.062,1.438,0.562,0.25,3.562,0.35,1,2.5,3.1,0.15,0.452,0.415,0.236,Visual
orderliness,1.778,0.056,0.722,0.722,0.111,4.167,1.15,2,2.85,1.45,1.15,0.544,0.198,0.254,Visual
orderly,1.343,0.171,1.143,0.571,0.2,3.571,1.036,1.857,3.286,1.286,0.607,0.486,0.332,0.226,Visual
ordinance,1.5,0,0.167,0.667,0.278,2.556,0.688,1.062,1.375,1.062,0.812,0.495,0.138,0.251,Visual
ordinarily,0.895,0.368,0.263,1.421,0.368,1.474,0.842,1.105,1.842,1.211,0.842,0.253,0.171,0.149,Visual
ordinariness,1.632,0.895,1,1.579,0.895,2.789,1.062,1.688,2.688,1.688,1,0.216,0.208,0.112,Visual
ordinary,2.368,1.737,1.684,1.789,1.632,3.368,1.143,1.429,2.524,1.333,0.905,0.138,0.221,0.124,Visual
ordination,2.545,0.455,1.273,0.636,0.182,3.091,0.438,1.188,1.875,1.25,0.438,0.356,0.277,0.218,Visual
ordnance,2.273,0.909,0.636,0.545,0.545,2.182,0.438,1,2.375,0.312,0.562,0.244,0.44,0.175,Auditory
ore,0.385,0.077,2.385,0.077,0.385,3.538,0.4,1.733,1.8,0.2,0.2,0.506,0.369,0.31,Visual
oregano,0,4.316,1.632,0.316,3.737,3.421,0.524,1.429,2.667,3.333,0.571,0.322,0.33,0.197,Gustatory
organ,3.062,0.438,1.188,1.188,0.438,3.125,1.611,1.889,2.611,1.889,2.722,0.285,0.104,0.133,Visual
organ donor,1.25,0.25,0.4,0.65,0.15,2.85,1.45,1.4,1.95,1.25,2.6,0.486,0.156,0.19,Visual
organic,0.176,1.882,0.588,0.059,0.941,2.412,0.526,1.211,2.684,1.895,0.947,0.388,0.297,0.197,Visual
organically,0.5,2.111,1.444,1.278,1.056,2.556,1.053,1.105,2.158,1.158,1.105,0.23,0.168,0.132,Visual
organism,0.867,0.467,1.4,0.867,0.733,3.267,1.556,2.667,3.167,1.778,1.722,0.368,0.148,0.151,Visual
organismic,1.5,0.7,1.8,2,1,1.65,0.357,0.821,1.75,0.464,0.714,0.15,0.339,0.129,Interoceptive
organist,3.188,0,0.5,0.062,0,2,0.824,2.824,3.412,0.647,0.588,0.554,0.34,0.243,Auditory
organization,1.5,0.2,0.6,0.8,0.15,3.7,1.143,2.762,3.095,1.476,0.952,0.511,0.227,0.217,Visual
organizational,1.353,0.118,0.824,0.529,0.059,2.824,0.45,1.85,2.7,1.25,0.45,0.485,0.336,0.223,Visual
organizationally,1.889,0.111,0.778,0.5,0.111,3.389,0.526,1.105,2.789,0.684,0.474,0.484,0.415,0.265,Visual
organize,0.5,0.333,1.944,0.5,0.278,3.833,1.286,2.905,3.286,0.905,0.952,0.481,0.255,0.213,Visual
organized,1.294,0,1.471,0.471,0,4.118,0.8,1.8,2.8,0.95,0.55,0.56,0.326,0.289,Visual
organizer,2,0.056,2.111,0.5,0.222,4.222,0.5,1.611,2.278,0.722,0.111,0.457,0.415,0.291,Visual
orgasm,3.15,0.95,3.05,4.6,0.9,2.6,1.45,1.55,2.25,1.05,2.9,0.243,0.201,0.151,Interoceptive
orgasmic,2.263,0.684,2.895,4.789,0.737,2.316,1.444,1.944,2.833,2.111,2.722,0.3,0.126,0.166,Interoceptive
orgy,3.125,1.25,3.25,2.625,1.5,3.938,2.524,3.238,3.095,3.238,3.333,0.171,0.052,0.086,Visual
orient,2.353,0.706,1.941,1.765,1.118,2.941,0.778,1.111,1.833,1.278,0.667,0.207,0.206,0.138,Visual
oriental,1.882,1.118,1,0.647,0.765,3.412,0.579,0.895,1.421,0.842,0.579,0.313,0.195,0.216,Visual
orientation,1.316,0.684,0.947,2.053,0.526,3.211,1.294,1.765,2.765,1.706,1.059,0.307,0.199,0.155,Visual
orifice,0.471,0.353,1.706,0.529,0.706,3.294,0.5,1.444,2.444,2.556,0.889,0.417,0.262,0.197,Visual
origami,0.5,0.079,2.763,0.026,0.053,4.184,0.059,4,2.824,0.059,0.176,0.547,0.554,0.282,Visual
origin,1,0.105,0.421,0.368,0.105,2.158,0.3,0.2,2.2,0.55,0.2,0.494,0.58,0.275,Visual
original,1.312,0.75,0.812,0.812,0.562,2.812,0.81,0.952,1.81,1.095,0.81,0.319,0.183,0.179,Visual
originality,2.118,1,0.824,1.588,0.941,3.176,0.174,0.957,3.13,2.087,0.304,0.244,0.444,0.184,Visual
originally,1.882,0.059,0.118,1,0.059,2.529,0.35,0.5,2.55,0.85,0.35,0.438,0.478,0.243,Visual
originate,2.588,0.294,0.471,0.353,0.353,2.412,0.211,0.421,1.158,0.526,0.263,0.355,0.367,0.263,Auditory
origination,1.222,0.333,0.611,0.722,0.556,1.944,0.944,1.222,2.444,1.722,1.167,0.299,0.2,0.164,Visual
originative,1.812,0.25,0.438,0.875,0.25,2.312,0.471,0.706,2.882,0.706,0.412,0.347,0.477,0.237,Visual
originator,1.529,0,0.294,0.235,0.412,2.882,0.4,1,1.9,1.3,0.4,0.538,0.3,0.278,Visual
oriole,2.143,0,0.571,0.5,0.071,3.143,0.143,0.571,3.5,0.857,0.5,0.489,0.603,0.292,Visual
ornament,0.6,0.05,2.2,0.2,0.15,4.75,0.5,3.1,3,0.5,0.4,0.591,0.36,0.304,Visual
ornamental,0.312,0,1.25,0.188,0.062,4,0.167,0.667,1.556,0.222,0.167,0.688,0.5,0.466,Visual
ornamentally,0.706,0.118,1.647,0.235,0.176,3.824,0.5,1.556,2.278,0.222,0.556,0.553,0.402,0.314,Visual
ornamentation,0.733,0.067,1.8,0.333,0.2,3.667,0.5,2.062,2.188,0.438,0.625,0.529,0.301,0.285,Visual
ornate,0.706,0.118,2,0.294,0.588,4,0.062,1.312,2.25,0.125,0.25,0.504,0.547,0.336,Visual
ornately,0.417,0.083,1.75,0.667,0.167,3.917,0.067,0.8,1.8,0.333,0.067,0.548,0.565,0.382,Visual
orneriness,2.083,0,0.167,1.917,0.083,1.5,0.182,0.182,2.636,1.636,0.182,0.362,0.509,0.249,Auditory
ornery,3.133,0,0.533,1.8,0.067,2.933,0.474,0.789,3.158,2.105,0.632,0.37,0.375,0.202,Auditory
orphan,1.467,0.2,0.8,0.533,0.933,2.933,0.857,1.214,2.143,1.571,1.071,0.398,0.188,0.199,Visual
orphanage,1.688,0.062,0.375,0.688,0.25,3.812,0.476,0.952,2.429,1,0.476,0.545,0.366,0.307,Visual
orphaned,0.786,0.071,0.5,1.429,0.143,1.643,0.636,1.091,3.818,1.364,0.727,0.344,0.417,0.307,Visual
orthodontic,1.75,1.438,2.25,1.938,0.625,3.375,0.5,0.6,1.55,3.5,0.15,0.242,0.532,0.19,Visual
orthodontics,1.647,0.529,2.235,1.176,0.647,2.824,0,0.545,2.182,3.955,0,0.253,0.592,0.251,Visual
orthodontist,2,0.353,1.294,1,0.529,4,0.263,1.526,2.421,4.368,0.368,0.397,0.459,0.227,Visual
orthodox,2.667,0.267,0.4,1.467,0.067,2.533,0.2,0.5,1.55,1,0.35,0.351,0.375,0.236,Auditory
orthographic,1,0,1,0.6,0.7,3.1,0.091,0.455,1.455,0,0,0.484,0.727,0.369,Visual
orthopedic,0.722,0,1.889,1,0.056,2.333,2.727,1.409,1.227,0.455,0.773,0.389,0.345,0.217,Visual
orthopedically,0.6,0,1.133,1,0.067,2.267,2.533,2,1.867,0.6,1,0.447,0.242,0.194,Visual
orthopedics,0.529,0.294,2.706,1.235,0.353,3.353,3.15,1.5,1.6,0.5,1.05,0.361,0.34,0.188,Visual
orthopedist,2.143,0.214,1.357,0.429,0.929,2.857,1.95,1.25,1.85,1.2,0.6,0.333,0.197,0.179,Visual
oscillate,2.25,0.312,1.688,0.938,0.062,3.625,1.167,1.083,2.083,0.917,1.167,0.401,0.182,0.233,Visual
oscillating,1.438,0.062,1.438,0.875,0.125,3.625,0.765,1.647,2,0.706,1.118,0.471,0.208,0.258,Visual
oscillator,2.071,0,1.286,0.857,0.071,3.357,0.467,1.4,1.733,0.333,0.4,0.439,0.323,0.28,Visual
osmosis,0.176,0.588,0.294,0.588,0.294,1.824,0.421,0.526,1.842,1.158,0.421,0.438,0.325,0.205,Visual
ostentatious,1.8,0.067,0.533,0.2,0.067,3.067,1.267,2,4.133,2.467,1.4,0.523,0.254,0.239,Visual
ostentatiously,2.053,0.158,0.316,0.737,0.263,3.105,0.565,1.087,2.652,2.087,0.565,0.444,0.3,0.217,Visual
osteoarthritis,0.235,0,1.529,3.765,0,1.588,2.071,2.071,0.929,0.357,1.643,0.529,0.242,0.265,Interoceptive
osteoporosis,0.536,0.036,0.679,2.571,0.143,1.393,2.639,2.639,1.417,0.639,2.389,0.473,0.206,0.173,Interoceptive
ostracize,2.824,0,0.059,2.059,0.059,2.824,0.294,0.588,2.647,2.529,0.294,0.361,0.37,0.199,Auditory
ostrich,2.167,0.167,2.056,0,0.722,4.389,0.421,1.316,2.211,0.579,0.211,0.462,0.422,0.308,Visual
other,1.476,0.714,1.19,0.857,0.571,2.571,0.6,0.85,1.2,0.6,0.3,0.271,0.254,0.208,Visual
otherness,1.875,0.562,0.75,2.375,0.5,2.5,0.524,0.476,2.238,0.476,0.429,0.234,0.437,0.163,Visual
otherwise,2.562,0.062,0.25,1.188,0.125,2.438,0,0.048,1.524,0.429,0,0.377,0.762,0.297,Auditory
otherworld,1.941,0.118,0.471,1.235,0.235,2.529,0.643,0.429,2.071,0.429,0.571,0.369,0.397,0.226,Visual
otherworldliness,1.5,0,0.5,1.562,0,2.125,0.111,0.111,2.167,0.222,0.167,0.374,0.74,0.256,Visual
otherworldly,1.882,0.882,1.353,1.824,0.765,2.765,0.056,0.222,2.833,0.111,0.056,0.211,0.847,0.218,Visual
otter,2.647,0.412,1.176,0.235,1.118,4.353,0.684,2.053,2.526,0.263,0.526,0.414,0.374,0.257,Visual
ottoman,0.333,0,3.133,0.533,0.2,3.867,3.737,1.895,2.263,0.316,1.842,0.479,0.34,0.213,Visual
ouch,0.684,0.053,4.105,4.211,0,1.316,2.895,2.895,3.105,3.368,2.737,0.406,0.042,0.166,Interoceptive
ought,1.444,0.333,0.889,1.167,0.278,0.944,0.118,0.176,1.294,0.588,0.294,0.231,0.476,0.176,Auditory
ounce,0.357,0.286,2.214,0.357,0.071,3.357,0.263,1.842,1.368,0.684,0.368,0.495,0.349,0.294,Visual
our,0.667,0.381,1.095,2.048,0.381,0.857,0.857,1.476,2.19,1.429,0.81,0.307,0.204,0.148,Interoceptive
ours,0.81,0.143,1,1.095,0.333,1.714,0.421,1,2.105,0.789,0.474,0.308,0.352,0.199,Visual
ourself,2,0.263,1.947,2.474,0.368,2.737,1.7,2.2,2.85,2.1,1.95,0.253,0.106,0.126,Visual
ourselves,1.3,0.2,1.3,1.9,0.85,2.15,1.056,1.333,2,1.333,0.944,0.253,0.158,0.136,Visual
oust,1.667,0.067,0,0.8,0,2,1.824,2.235,2,1.941,1.412,0.441,0.088,0.16,Visual
out,1.35,0.15,1.35,0.35,0.9,3.45,1.7,1.6,1.85,1.45,1.05,0.437,0.105,0.217,Visual
outage,0.889,0,0.111,0,0,3.389,0.05,0.05,0.8,0.1,0.1,0.772,0.682,0.617,Visual
outback,1.143,0.171,0.743,0.257,0.743,2.514,1.75,1.062,1.938,0.375,0.812,0.421,0.263,0.204,Visual
outbid,2.588,0,0.059,0.176,0,2.588,0.4,0.95,2.65,2,0.35,0.478,0.362,0.225,Auditory
outboard,2.417,0,1.167,0.833,0.333,3.917,1.294,1.647,1.412,0.529,1.588,0.452,0.173,0.259,Visual
outboard motor,3.333,0.056,1.5,0.722,0.556,4.278,1.688,2.812,2.125,0.625,1.625,0.404,0.246,0.219,Visual
outbound,1.056,0,0.222,0.222,0,2.444,0.8,1,2.2,0.7,0.5,0.62,0.327,0.267,Visual
outbox,0.222,0,0.833,0,0,3.667,0.706,1.706,1.941,0.059,0.471,0.776,0.386,0.382,Visual
outbreak,1.632,0.368,0.895,1.421,0.526,2.947,1.048,1.429,2.381,1.476,1.19,0.331,0.177,0.168,Visual
outbreed,0.75,0,0.062,0.062,0,1.625,0.538,0.692,1.154,0.692,0.769,0.65,0.16,0.256,Visual
outbuilding,0.143,0.143,1.643,0.357,0.214,3.786,1.684,1.789,2.368,1.158,1.737,0.58,0.139,0.242,Visual
outburst,4.667,0,0.222,1.833,0,3.5,0.895,1.158,2.474,3.105,0.632,0.457,0.299,0.252,Auditory
outcast,1.333,0,0.061,1.545,0.182,3.091,0.632,0.789,2.211,1.105,0.526,0.498,0.32,0.269,Visual
outclass,1.55,0.2,0.4,1.2,0.4,2.55,1.2,1.45,3.25,1.9,0.9,0.373,0.27,0.203,Visual
outcome,2,0.562,0.688,1.062,0.438,2.812,0.5,0.9,2.95,1.4,0.6,0.314,0.386,0.181,Visual
outcrop,0,0,1.182,0,0,3.273,0.647,0.765,2.118,0.353,0.529,0.735,0.4,0.369,Visual
outcry,4,0.053,0.105,0.947,0,2.632,0.333,0.722,2.333,3.389,0.556,0.517,0.417,0.265,Auditory
outdate,1,0.278,0.667,0.833,0.278,2.444,0.15,0.45,2.4,1,0.3,0.394,0.523,0.234,Visual
outdated,1.389,0.5,0.889,0.556,0.667,2.5,0.789,0.947,2.842,1.158,0.947,0.308,0.307,0.178,Visual
outdo,1.389,0.361,0.861,1.833,0.583,2.528,1.476,1.619,2.048,1.714,1.429,0.287,0.075,0.137,Visual
outdoor,3.6,0.15,1.85,1,3.35,4.35,2.579,2.474,3.526,1.526,2.421,0.294,0.16,0.157,Visual
outdoors,3,0.357,2.429,1.571,3.071,4.929,3.316,2.632,3.684,1.842,2.421,0.298,0.133,0.156,Visual
outdoorsman,0.667,0,0.267,0.867,0.733,3.733,3.053,3.053,2.895,1.632,2.263,0.596,0.11,0.195,Visual
outdoorsy,1.842,0.368,1.211,1.474,1.474,3.316,2.143,1.857,2.333,1.048,1.762,0.304,0.141,0.157,Visual
outdraw,0.75,0.062,1.438,0.688,0,3.188,0.3,3.45,1.8,0.35,0.65,0.52,0.481,0.272,Visual
outdrink,0.412,1.471,0.353,0.941,0.294,3.118,0.6,1.65,1.65,3.7,0.75,0.429,0.371,0.228,Visual
outer,0.8,0.35,1.15,0.5,0.3,2.8,0.556,0.778,1.389,0.556,0.611,0.424,0.214,0.255,Visual
outer space,0.471,0.118,0.176,1.118,0.235,4,0.579,0.789,1.684,0.474,0.895,0.635,0.274,0.368,Visual
outermost,0.5,0.389,2.389,0.556,0.278,4.611,1,1.684,1.947,0.895,0.579,0.497,0.224,0.292,Visual
outerwear,0.368,0.263,3,0.526,0.263,4,2.571,3.286,1.952,0.048,3.143,0.444,0.294,0.204,Visual
outfield,1,0.118,1.412,0.118,0.588,4.235,1.9,1.4,2.85,0.5,0.85,0.551,0.313,0.275,Visual
outfielder,1.222,0.278,0.889,0.278,0.333,3.833,2.222,2.611,2.056,0.222,1.5,0.52,0.277,0.234,Visual
outfit,0.4,0.15,2.95,0.45,0.3,4.05,2.8,2.85,2.55,0.45,3.15,0.47,0.229,0.194,Visual
outfitter,1,0.211,1.053,0.105,0.263,3.158,1.316,1.526,1.526,0.526,1.316,0.527,0.161,0.254,Visual
outflank,0.867,0,0.333,0.067,0,2.533,1.8,0.8,1.55,0.25,0.85,0.667,0.295,0.28,Visual
outflow,1.133,0,0.267,0.133,0.067,2.667,0.55,1.35,1.65,1.2,0.55,0.625,0.208,0.279,Visual
outfox,1.647,0,0.235,0.941,0,2.588,0.895,1,2.895,1.368,0.526,0.478,0.354,0.239,Visual
outgoing,3,0.294,0.235,2.353,0.294,3.353,0.833,0.722,2,2.556,0.444,0.327,0.322,0.194,Visual
outgoingness,1.684,0,0.263,1.737,0,2.211,1.474,1.579,2.842,2.737,1.421,0.375,0.141,0.178,Visual
outgrow,0.222,0.167,1.222,1.556,0.222,3.056,2.211,2.105,1.053,0.368,2.105,0.448,0.235,0.202,Visual
outgrowing,0.7,0,1.1,0.9,0,3.2,2.15,2,2.35,0.45,2.05,0.542,0.211,0.215,Visual
outgrowth,0.25,0.188,1.062,1.812,0.25,3.25,2.05,2.5,2.8,1.1,1.95,0.45,0.163,0.178,Visual
outguess,1.538,0,0,0.154,0,0.615,0.278,0.389,2.389,2,0.333,0.667,0.392,0.31,Auditory
outgun,1.765,0,0.412,0.588,0,3.529,0.611,1.5,1.667,0.389,0.611,0.561,0.267,0.319,Visual
outhit,0.917,0,1.25,0.5,0,3.25,1.375,2.562,1.5,0.75,1.25,0.549,0.244,0.243,Visual
outhouse,0.778,0.056,1.889,0.667,3.056,3.833,1.833,1.444,1.278,0.167,1.389,0.368,0.273,0.231,Visual
outing,2.316,0,0.895,1,0.474,3.684,2.333,1.714,2.238,1.667,1.619,0.44,0.075,0.205,Visual
outland,0.562,0.312,0.562,0.625,0.5,3.125,1.667,1.333,1.5,0.722,0.889,0.495,0.155,0.238,Visual
outlander,1,0,0,0.083,0.167,3.417,0.895,1.105,2.105,1.105,0.526,0.732,0.275,0.328,Visual
outlandish,2.882,0.059,0.235,1.059,0.176,3.059,0.316,0.474,2.211,1.263,0.263,0.402,0.43,0.25,Visual
outlandishly,2.684,0.263,0.368,0.947,0.316,3,1.176,1.647,2.471,2.118,1.235,0.361,0.15,0.169,Visual
outlandishness,1.714,0.143,0.571,1.357,0.214,2.143,0.294,0.647,1.882,1.118,0.294,0.326,0.375,0.193,Visual
outlast,0.9,0,0,0.6,0.1,2.1,1,1,2.227,0.591,0.909,0.568,0.286,0.236,Visual
outlaw,1.778,0.056,0.278,0.722,0.056,2.944,1.2,1.75,3.05,1.45,0.95,0.495,0.25,0.21,Visual
outlay,0.091,0,0.818,0.273,0,2.091,0.611,2.056,2,0.889,0.389,0.639,0.28,0.227,Visual
outlearn,1.6,0,0,1,0,1.6,0.5,0.8,3.3,1,0.6,0.381,0.452,0.317,Auditory
outlet,0.722,0.222,0.889,0.556,0.222,2.722,0.714,1.571,1.952,0.857,0.524,0.469,0.254,0.228,Visual
outlet store,1.368,0.105,1.368,0.316,0.579,4.632,1.95,1.6,2.65,0.45,0.7,0.541,0.299,0.288,Visual
outline,0.667,0.444,1.333,0.222,0.278,3.444,0.19,2.524,1.81,1.238,0.19,0.504,0.392,0.264,Visual
outlined,1.222,0,0.556,0.056,0,3.167,0.25,1.95,2.2,0.45,0.15,0.633,0.41,0.317,Visual
outlive,1.095,0,0.143,0.81,0,1.952,1.15,1.2,2.25,1.2,1.4,0.488,0.153,0.201,Visual
outlook,0.706,0.059,0.353,1.882,0.059,2.353,0.316,0.316,3.368,0.632,0.474,0.424,0.598,0.315,Visual
outlying,0.731,0.154,0.462,0.481,0.173,3.25,0.603,0.621,1.776,0.569,0.328,0.59,0.372,0.339,Visual
outmaneuver,0.944,0,0.556,1,0,3.333,1.947,2.053,2.263,1.158,1.368,0.571,0.126,0.228,Visual
outmatch,1.421,0.158,0.579,1.737,0.053,3.105,1.167,1.611,2.667,1.889,0.833,0.433,0.224,0.201,Visual
outmost,0.375,0.125,0.562,0.188,0.125,2.875,1.056,1.556,1.889,0.444,0.556,0.647,0.263,0.282,Visual
outnumber,1.444,0.111,0.278,0.167,0.167,3.556,0.7,0.8,2.05,1.2,0.6,0.602,0.271,0.311,Visual
outnumbered,0.947,0.158,0.737,0.737,0.158,2.684,0.421,0.474,2.316,0.842,0.263,0.466,0.476,0.259,Visual
outpace,1.158,0,0.474,0.789,0.053,3.158,2.235,1.588,1.824,0.647,0.824,0.561,0.223,0.248,Visual
outpatient,1.647,0.294,1.118,1.059,0.353,3.471,1.55,1.65,3,1.7,1.8,0.4,0.149,0.18,Visual
outperform,2.353,0.471,0.765,1.647,0.471,3.824,2.143,2.143,2.905,1.762,2.143,0.352,0.103,0.163,Visual
outplayed,1.588,0,0.294,0.588,0.118,3.059,2.05,2.35,2.85,1.95,1.4,0.542,0.137,0.188,Visual
outpost,0.5,0,0.5,0,0.125,3.25,0.895,0.737,1.474,0.316,0.474,0.743,0.297,0.393,Visual
outpour,2.471,0.706,0.882,1,0.235,3.412,0.278,1.111,1.444,1.778,0.5,0.365,0.293,0.23,Visual
outpouring,2.353,0,0.588,1.294,0,3.588,0.182,0.636,1.5,1.818,0.5,0.459,0.353,0.288,Visual
output,2,0.333,1.278,0.778,0.611,2.944,0.65,1.5,2.1,1.6,0.55,0.329,0.242,0.182,Visual
outrace,0.786,0,0.857,0.643,0,3.429,1.882,0.941,2.176,0.176,0.882,0.6,0.33,0.291,Visual
outrage,3.5,0,0.062,4.188,0,3.562,1.4,2.2,3,3.6,1.3,0.37,0.2,0.184,Interoceptive
outraged,2.474,0,0,3.474,0,2.947,0.619,1.095,3.381,2.762,0.571,0.391,0.333,0.201,Interoceptive
outrageous,2.079,0.342,0.474,2.289,0.421,2.447,0.286,0.429,1.762,1.048,0.238,0.261,0.405,0.187,Visual
