Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Exclusivity.perceptual,Exclusivity.action,Exclusivity.sensorimotor,Modality
abruptly,3.059,0.059,0.471,1,0.059,3.882,1.105,1.737,1.684,1.211,0.632,0.448,0.174,0.257,Visual
abruptness,3.278,0.056,1.056,1.444,0.056,3,1.053,1.263,2.105,1.368,0.737,0.362,0.21,0.209,Auditory
abscess,0.15,0.45,2.85,2.6,1.05,4,1.056,1.833,2.111,1.167,1.278,0.347,0.142,0.208,Visual
abscessed,0.294,1.294,2.647,3.235,1.941,3.882,0.923,1.231,1.154,1.769,0.846,0.27,0.156,0.187,Visual
absence,1.737,0.632,1.053,1.421,0.684,3.211,0.619,0.667,2.571,1.095,1,0.295,0.328,0.176,Visual
absent,1.486,0.459,0.865,0.919,0.324,3.243,0.611,0.722,2.389,0.944,0.722,0.4,0.33,0.23,Visual
absentee,0.767,0,0.167,0.533,0,2.2,1.057,1.229,2.4,1.571,1,0.6,0.193,0.22,Visual
absenteeism,0.867,0,0.067,0.267,0,1.8,1.688,1.688,2.625,1.312,1.562,0.6,0.148,0.221,Visual
absently,0.81,0.238,0.667,1.714,0.19,2.095,0.55,0.7,2.5,0.65,0.5,0.333,0.408,0.218,Visual
absentminded,1.824,0,0.176,2.235,0,2.647,0.15,0.25,3.5,0.5,0.25,0.385,0.72,0.303,Visual
absentmindedly,1.438,0.312,0.312,1.75,0.25,1.438,0.429,0.857,3.667,0.762,0.286,0.273,0.563,0.297,Interoceptive
absentmindedness,1.118,0,0.294,2.235,0.059,2,0.25,0.25,3.8,0.75,0.15,0.392,0.702,0.348,Interoceptive
absentness,0.682,0.227,0.682,1.091,0.364,3.227,1.3,1.45,2.45,1.55,1.55,0.478,0.139,0.206,Visual
absinthe,0.077,4.231,0.846,2.462,2.538,2.846,1.25,1.938,2.938,4.125,1.438,0.32,0.246,0.168,Gustatory
absolute,1.562,0.062,0.688,1.625,0.062,1.812,1.053,1.053,2.526,1.632,1,0.301,0.21,0.188,Visual
absolutely,1.222,0.111,0.278,1.5,0.111,1.889,1.65,2.05,2.5,1.95,1.55,0.348,0.098,0.161,Visual
absoluteness,2.375,0.312,0.5,1.688,0.312,2.562,0.211,0.105,1.579,0.632,0.158,0.29,0.549,0.235,Visual
absolution,0.947,0.053,0.053,1.368,0.053,1.211,0.333,0.556,1.889,1.278,0.444,0.357,0.346,0.224,Interoceptive
absolutism,1.308,0,0.077,0.769,0,0.692,0,0.4,2.6,1.2,0,0.459,0.619,0.369,Auditory
absolutist,2.692,0.385,0.692,0.923,0.385,1.846,0.667,1.067,2.4,1.467,0.533,0.333,0.304,0.177,Auditory
absolvable,1.733,0,0.133,1.267,0,2.133,0.176,0.471,1.471,1.294,0.294,0.405,0.349,0.238,Visual
absolve,2.118,0,0.294,1.471,0,1.353,0.176,0.353,2.353,2.471,0.353,0.404,0.402,0.226,Auditory
absorb,0.333,0.194,2.194,0.917,0.056,3.389,1.095,1.714,2,1.381,1.143,0.471,0.123,0.231,Visual
absorbability,0.643,0.643,2.25,0.821,0.429,3.393,0.368,1.842,1.789,0.632,0.526,0.362,0.286,0.227,Visual
absorbable,0.4,0.2,2.1,0.65,0.2,3.2,0.316,1.684,0.895,0.632,0.316,0.444,0.356,0.283,Visual
absorbed,0.947,0.368,1.368,2.368,0.158,2.474,0.389,0.75,2.806,0.778,0.583,0.301,0.455,0.204,Visual
absorbency,0.158,0.053,2.211,0.316,0.211,2.526,0.5,1.636,1.636,0.909,0.682,0.452,0.212,0.228,Visual
absorbent,0.5,0.125,2.812,0.312,0.188,3.375,0.789,1.737,1.789,0.947,0.737,0.444,0.175,0.244,Visual
absorber,1.188,0.25,2.625,0.812,0.438,3.375,0.235,1.412,1.294,0.412,0.588,0.36,0.299,0.249,Visual
absorbing,0.65,0.4,1.6,1.35,0.2,2.5,0.95,1.15,2.7,1.35,1.15,0.343,0.24,0.179,Visual
absorbingly,0.529,0.353,1.471,0.765,0.353,2.412,0.8,1.467,2.4,1.667,1.067,0.35,0.216,0.155,Visual
absorption,0.714,0.714,2.286,2.071,0.357,3,0.722,1.111,1.778,1.333,0.833,0.289,0.183,0.177,Visual
absorptiveness,0.2,0.067,2.333,0.533,0.133,3.333,0.412,1.471,2.059,0.529,0.529,0.495,0.329,0.282,Visual
abstain,0.688,0.5,0.625,2.125,0.312,1.125,0.579,0.895,2.368,0.895,0.842,0.337,0.321,0.188,Interoceptive
abstainer,1.438,0.062,0.188,0.812,0.312,2.188,0.421,1.053,1.842,0.947,0.211,0.425,0.365,0.224,Visual
abstention,1,0,0,0.3,0,1.3,0.737,1,1.947,2.211,1.211,0.5,0.207,0.228,Visual
abstinence,1.263,0.263,0.684,2.105,0.263,1.579,0.611,1.111,2.556,1.111,2.278,0.299,0.254,0.166,Interoceptive
abstinent,0.789,0.158,0.947,1.895,0.105,1.263,0.25,1,2.375,1.062,2,0.347,0.318,0.192,Interoceptive
abstinently,1.267,0.533,0.933,1.2,0.467,2.2,0.882,0.765,1.706,1.529,1.118,0.263,0.157,0.138,Visual
abstract,1.158,0.263,1.105,1.053,0.158,3.579,0.476,0.667,3.476,1.476,0.476,0.468,0.457,0.246,Visual
abstracted,1.267,0,0.4,0.8,0,2.333,0.389,1.333,2.5,1.167,0.111,0.486,0.434,0.243,Visual
abstractedly,1.188,0.25,0.438,0.938,0.062,2.75,0.667,0.889,3.167,1,0.611,0.478,0.404,0.26,Visual
abstractedness,1.941,0.118,0.765,1.118,0.176,3.059,0.368,0.526,3,1.105,0.474,0.41,0.481,0.233,Visual
abstraction,1.375,0,0.312,0.688,0.062,2.5,0.722,1.5,2.5,1.944,0.667,0.506,0.25,0.204,Visual
abstractionism,2.364,0.091,0.545,1,0.091,4,0.333,0.8,2.133,0.6,0.467,0.483,0.415,0.315,Visual
abstractionist,0.583,0.167,0.417,0.75,0.417,2.917,0.438,1.312,2.375,0.625,0.375,0.524,0.39,0.265,Visual
abstractive,1.688,0.312,0.75,0.875,0.312,2.938,0.294,0.353,2.294,0.706,0.471,0.382,0.486,0.24,Visual
abstractly,1.667,0.278,0.556,2.167,0.222,2.833,0.217,0.87,2.957,0.826,0.261,0.338,0.534,0.213,Visual
abstractness,1.875,0.062,1,1.812,0.125,3.438,0.15,0.45,2.8,1.35,0.15,0.406,0.541,0.255,Visual
absurd,3.562,0.125,0.312,1.375,0.125,2.75,0,0.524,2.429,1.619,0.095,0.417,0.52,0.276,Auditory
absurdity,2.765,0.118,0.118,1.647,0.118,2.882,0.3,0.6,2.4,1.55,0.55,0.362,0.389,0.212,Visual
absurdly,2.556,0.333,0.389,1.667,0.5,2.389,1.368,1.526,2.895,2.421,1.158,0.284,0.185,0.149,Auditory
absurdness,2.667,0.067,0.467,1.6,0.133,3.4,0.158,0.368,3.263,1.053,0.211,0.4,0.615,0.249,Visual
abundance,0.824,0.647,1.882,0.412,0.412,4.353,0.789,1.421,3.579,1.105,0.789,0.462,0.363,0.243,Visual
abundant,1.357,0.357,1.5,0.929,0.429,3.786,0.222,1.5,2.722,1.222,0.667,0.41,0.395,0.243,Visual
abundantly,1.227,0.227,1.136,0.727,0.273,3.545,0.5,1.222,2.5,0.722,0.556,0.465,0.364,0.263,Visual
abuse,3,0.1,2.7,2.65,0.05,4.2,2.053,2.789,3.053,2.737,1.842,0.327,0.097,0.165,Visual
abuser,3.111,0.444,3.5,2.111,0.833,3.056,1.176,2,1.882,1.412,1.118,0.234,0.116,0.148,Haptic
abusive,2.15,0,1.6,2.25,0,3.15,1.632,2.211,2.316,2.105,1.737,0.344,0.068,0.164,Visual
abusively,2.556,0,0.889,1.556,0,3.333,1.55,2.35,2.5,2.35,1.55,0.4,0.092,0.179,Visual
abusiveness,3.053,0.053,2.316,1.947,0,3.421,1.167,1.944,2.222,1.333,0.889,0.317,0.176,0.186,Visual
abysmally,2,0.3,0.5,1.533,0.433,2.333,0.706,0.853,2.294,1.559,0.676,0.286,0.266,0.154,Visual
abyss,1.533,0.067,0.667,2.067,0.067,3.867,0.412,0.588,2.529,0.765,0.765,0.46,0.419,0.285,Visual
academia,1.778,0.111,0.167,0.889,0.111,2.444,0.647,1.059,3.706,2.118,0.765,0.424,0.369,0.261,Visual
academic,1.286,0.071,0.071,0.357,0.143,2.214,0.526,0.947,3.421,1.684,0.684,0.517,0.399,0.294,Visual
academic year,1.167,0.306,0.778,1.111,0.333,1.889,0.421,0.658,2.395,0.553,0.5,0.284,0.436,0.207,Visual
academically,2.4,0.05,0.4,1.25,0.25,3,0.6,1.35,3.65,2.15,0.75,0.401,0.359,0.227,Visual
academy,1.167,0.056,0.389,0.444,0.056,3.611,0.864,0.955,2.773,1.182,0.682,0.621,0.324,0.292,Visual
accelerant,0.579,0.053,0.737,1.053,1,2.211,1.316,1.947,1.895,0.684,0.632,0.383,0.203,0.178,Visual
accelerate,1.684,0,1.211,2.474,0.158,2.684,3.944,1.167,1.278,0.722,1.389,0.327,0.379,0.236,Visual
accelerated,1.5,0,1.056,2.611,0.167,2.667,3.368,2,3.053,1.316,1.474,0.333,0.183,0.175,Visual
acceleration,2.529,0.412,1.765,2.118,0.706,3.882,3.5,1.4,2.45,0.25,1.8,0.304,0.346,0.175,Visual
accelerative,1.933,0.267,0.733,1,0.2,3.133,2.944,2.111,2.333,0.889,1.389,0.404,0.213,0.173,Visual
accelerator,2.25,0,1.25,1.65,0.05,2.5,4.368,1.368,1.526,0.368,0.526,0.325,0.49,0.275,Visual
acceleratory,1.9,0,1,2.5,0,2.8,2.733,1.533,1.4,0.4,0.867,0.341,0.337,0.185,Visual
accelerometer,0.263,0,1.105,0.211,0,3.368,0.889,1.667,2.556,0.444,0.722,0.681,0.336,0.3,Visual
accent,4.053,0.474,0.211,0.211,0.263,0.737,0.55,0.7,2.65,3.25,0.4,0.646,0.377,0.285,Auditory
accentually,1.312,0,0.062,0,0,0.562,0.346,0.654,2,1.077,0.308,0.677,0.386,0.316,Auditory
accentuate,2.929,0.5,0.786,0.857,0.5,2.571,0.312,0.938,1.688,2,0.438,0.298,0.314,0.194,Auditory
accentuation,2,0.312,0.438,0.375,0.188,1.625,0.278,1.333,2.833,2.167,0.5,0.367,0.359,0.22,Auditory
accept,2.529,0.059,1.294,1.765,0.235,2.765,0.579,1.737,2.632,2.053,0.526,0.313,0.28,0.167,Visual
acceptability,1.056,0,0.611,1.944,0.111,1.667,0.429,0.619,2.952,1.667,0.762,0.361,0.393,0.25,Interoceptive
acceptable,2.163,1.279,1.209,2.419,1.279,2.907,0.773,1.045,2.5,1.682,0.818,0.151,0.253,0.118,Visual
acceptableness,1.947,0.421,1.053,1.579,0.632,3.263,0.812,1.75,2.75,1.938,1.125,0.32,0.231,0.165,Visual
acceptably,1.944,0.444,0.833,1.111,0.222,2.222,0.056,0.556,2.389,0.389,0.056,0.295,0.677,0.228,Visual
acceptance,2.941,0.235,1.118,2.882,0.353,2.882,0.474,1.158,2.842,1.474,0.632,0.26,0.36,0.159,Auditory
acceptant,2.15,0.25,0.75,1.05,0.05,2.4,0.421,0.789,2.474,1.789,0.526,0.353,0.342,0.192,Visual
accepted,2.2,0.4,0.85,3,0.35,2.75,0.737,1.211,3.526,2.421,1.158,0.277,0.308,0.171,Interoceptive
acceptor,1.8,0,0.533,0.267,0,3.067,0.263,1.105,2.105,1.684,0.421,0.541,0.33,0.273,Visual
access,1.1,0.45,1.25,0.75,0.35,2.35,1.684,2.474,2.789,1.421,1.053,0.32,0.184,0.156,Visual
accessibility,1.062,0,1.125,0.625,0,3,3.125,3.25,2.312,1.938,2.062,0.516,0.103,0.176,Visual
accessible,0.579,0.316,0.737,0.579,0.158,3.211,1.737,2.211,3.105,1.105,1.211,0.547,0.213,0.204,Visual
accessibly,0.588,0,1.059,0.412,0,3.529,1.263,1,1.105,0.526,0.579,0.632,0.165,0.351,Visual
accessorize,0.778,0.167,2.056,0.333,0.111,3.722,1.316,2.368,2.579,0.526,1.263,0.504,0.255,0.237,Visual
accessory,0.824,0.118,2.529,0.235,0.235,4.176,1.105,2,2.211,0.526,1.526,0.5,0.229,0.262,Visual
accident,3.312,0,1.062,1.312,0.312,4.375,2.333,2.476,2.81,2.381,2.286,0.422,0.043,0.193,Visual
accidental,1.85,0.25,0.85,1.3,0.6,3.15,1.211,1.263,1.684,1.105,0.895,0.362,0.128,0.205,Visual
accidentally,1.667,0.278,1,1.389,0.5,2.611,0.95,1.45,2.25,1.2,0.8,0.313,0.218,0.166,Visual
accidently,2.062,0.125,0.375,0.875,0.125,2.75,1.8,2.25,3.4,2.2,1.95,0.416,0.138,0.183,Visual
acclaim,2.5,0.286,0.643,1.286,0.214,2.714,0.111,0.611,2.833,3.167,0.444,0.327,0.426,0.206,Visual
acclaimer,3.636,0.273,0.455,0.545,0.364,3.364,0.4,1,2.6,3.133,0.533,0.389,0.357,0.206,Auditory
acclamation,1.786,0.214,0.429,1.286,0.071,1.571,0.571,0.952,2.381,2.333,0.762,0.32,0.259,0.187,Auditory
acclimate,0.529,0.059,0.471,2.412,0.176,2.118,0.889,1,2.611,1.167,1.111,0.408,0.254,0.203,Interoceptive
acclimation,1.438,0.875,0.812,2.125,0.688,1.75,2.188,2.375,3.25,1.875,2.375,0.187,0.114,0.13,Interoceptive
acclimatization,0.733,0.4,0.8,2.267,0.333,1.6,1.158,1.316,2.947,0.947,1.579,0.315,0.252,0.186,Interoceptive
acclimatize,0.333,0.167,0.083,2.083,0.083,2,0.867,1,2.467,0.933,0.867,0.421,0.261,0.219,Interoceptive
accolade,3.286,0,0.429,0.643,0,2.714,0.158,0.579,1.842,1.158,0.211,0.465,0.427,0.298,Auditory
accommodate,1.111,0.278,0.889,0.944,0.333,2.5,0.368,1.053,1.947,1.526,0.368,0.367,0.3,0.196,Visual
accommodating,1.9,0,0.35,1.05,0.05,1.8,0.294,0.882,2.294,1.353,0.412,0.369,0.382,0.221,Auditory
accommodatingly,1.5,0.312,0.25,1.062,0.188,2,0.667,0.667,1.524,0.952,0.714,0.341,0.189,0.184,Visual
accommodation,1.3,0.05,0.9,1.05,0.25,2.95,1.278,1.778,2.444,1.722,1,0.446,0.176,0.197,Visual
accommodative,2.4,0.2,0.4,0.867,0.2,3.133,0.235,0.882,1.941,1.824,0.176,0.407,0.349,0.241,Visual
accommodator,2.467,0.067,0.133,0.933,0.067,3.267,0.632,1.158,2,1.579,0.526,0.462,0.25,0.249,Visual
accompanier,1.619,0.143,0.476,0.19,0.238,2.81,1.857,1.952,2.19,1.381,1.476,0.487,0.091,0.186,Visual
accompaniment,2.462,0.231,0.615,0.923,0.231,2.846,0.579,0.737,2.158,1.526,0.579,0.358,0.283,0.203,Visual
accompany,1.235,0.412,1.118,1.176,0.176,2.941,2.524,2.333,1.81,0.619,1.905,0.392,0.207,0.17,Visual
accomplice,1.611,0.056,1.056,1.111,0.556,2.722,0.4,0.85,2.45,1.2,0.4,0.375,0.387,0.215,Visual
accomplish,1.5,0.556,1.056,2.333,0.778,2.111,1.353,2.118,2.412,1.588,1.294,0.213,0.128,0.109,Interoceptive
accomplishable,1.737,0,0.421,1.579,0,2.368,1.278,1.667,1.889,1.5,1.222,0.388,0.088,0.173,Visual
accomplished,1.789,0.132,0.316,2.184,0.079,2.632,0.474,0.684,2.211,0.895,0,0.358,0.519,0.231,Visual
accomplisher,1.167,0.167,0.278,0.722,0.167,2.611,0.95,1.75,2.7,1.75,1.15,0.478,0.211,0.189,Visual
accomplishment,1.833,0.056,0.278,2.556,0.111,3.333,0.682,0.773,3.273,1.227,0.318,0.401,0.471,0.227,Visual
accord,0.867,0.067,0.067,0.733,0.067,0.933,0.222,0.556,2.667,1.333,0.611,0.317,0.454,0.32,Visual
accordance,1.65,0.05,0.3,1.2,0.05,2,0.389,0.722,2.111,1.611,0.333,0.371,0.344,0.198,Visual
accordantly,1.074,0.185,0.63,0.963,0.185,2.148,0.276,0.483,1.483,0.897,0.103,0.379,0.426,0.243,Visual
according,2.5,0.375,0.25,0.5,0.375,1.625,0.1,0.5,2.3,1.7,0.15,0.4,0.463,0.231,Auditory
accordingly,1.875,0.188,0.25,0.938,0.188,2.25,0.333,0.556,2.167,1.111,0.444,0.363,0.398,0.2,Visual
accordion,4.632,0.158,2.632,0.895,0.211,3.526,0.6,3.44,2.4,0.4,1.36,0.371,0.371,0.221,Auditory
accordionist,3.333,0.167,0.556,0.389,0.222,2.889,0.526,2.368,1.474,0.579,0.895,0.419,0.315,0.236,Auditory
accosted,1.824,0,0.941,1.294,0,2.765,1.4,1.933,2.2,1.333,1.6,0.405,0.102,0.181,Visual
account,2.017,0.462,0.811,0.829,0.512,2.664,0.222,0.722,3.5,1.278,0.222,0.302,0.551,0.248,Visual
accountability,1.95,0.4,0.65,1.9,0.45,2.2,0.579,1.105,3.263,1.579,0.789,0.238,0.367,0.193,Visual
accountable,1.667,0.067,0.667,1.467,0,1.667,0.75,1.05,2.4,1.55,0.65,0.301,0.273,0.201,Auditory
accountableness,2.059,0,0.471,1.176,0,1.941,0.5,0.611,3.333,2.056,0.5,0.365,0.405,0.264,Auditory
accountably,2.053,0.105,0.474,1.211,0.211,2.684,0.333,0.389,2.389,1.222,0.222,0.383,0.476,0.228,Visual
accountancy,0.933,0.267,1.133,0.267,0.267,3,0.353,1,2.059,1.118,0.294,0.466,0.366,0.256,Visual
accountant,2,0,0.444,0.111,0.167,3.944,0.474,0.947,2.368,1.474,0.368,0.592,0.355,0.321,Visual
